         x         y           v           s          Vx          Vy
       0.3      0.11     0.15184 -0.00049626   -0.010765  -0.0040141
       0.3      0.12     0.16007 -0.00061095   -0.012205  -0.0048021
       0.3      0.13     0.16808 -0.00074035   -0.013706  -0.0056657
       0.3      0.14     0.17586 -0.00088506   -0.015265  -0.0066057
       0.3      0.15     0.18341  -0.0010456   -0.016878  -0.0076233
       0.3      0.16     0.19073  -0.0012226   -0.018544  -0.0087192
       0.3      0.17     0.19782  -0.0014165   -0.020258  -0.0098943
       0.3      0.18     0.20466  -0.0016278   -0.022018   -0.011149
       0.3      0.19     0.21126  -0.0018569   -0.023821   -0.012485
       0.3       0.2     0.21761  -0.0021042   -0.025663   -0.013901
       0.3      0.21      0.2237  -0.0023701   -0.027544   -0.015398
       0.3      0.22     0.22954  -0.0026551   -0.029459   -0.016976
       0.3      0.23      0.2351  -0.0029593   -0.031407   -0.018636
       0.3      0.24     0.24039  -0.0032832   -0.033385   -0.020378
       0.3      0.25     0.24533   -0.003627    -0.03539     -0.0222
      0.32      0.01    0.070984 -3.0197e-06 -0.00065647 -3.3613e-05
      0.32      0.02    0.081401 -1.3129e-05  -0.0014163 -0.00013492
      0.32      0.03    0.091636 -3.1345e-05  -0.0022759 -0.00030454
      0.32      0.04     0.10168 -5.8647e-05  -0.0032317 -0.00054323
      0.32      0.05     0.11153 -9.5979e-05    -0.00428 -0.00085184
      0.32      0.06     0.12118 -0.00014425  -0.0054171  -0.0012313
      0.32      0.07     0.13062 -0.00020432  -0.0066392  -0.0016826
      0.32      0.08     0.13984 -0.00027703  -0.0079426  -0.0022067
      0.32      0.09     0.14885 -0.00036317  -0.0093237  -0.0028048
      0.32       0.1     0.15763  -0.0004635   -0.010779  -0.0034777
      0.32      0.11     0.16618 -0.00057874   -0.012304  -0.0042265
      0.32      0.12      0.1745 -0.00070958   -0.013896  -0.0050521
